Email,Behavior-3,Brand-Preference,CTA,Demo-Age
nisl@adipiscingelit.org,16,12,9,48
dui.Fusce.diam@non.edu,25,8,6,41
nisl.Maecenas@vitaeorciPhasellus.org,23,11,4,50
justo.nec@Aenean.edu,4,12,11,34
neque.Morbi.quis@AeneanmassaInteger.ca,29,10,2,59
elit@erat.org,16,6,13,57
non.arcu.Vivamus@montesnasceturridiculus.net,26,7,7,58
Proin.sed@sit.co.uk,13,9,4,64
auctor@odioEtiam.ca,23,10,12,58
Mauris.non.dui@nisia.co.uk,11,1,11,23
turpis.In.condimentum@Sedeget.co.uk,8,5,8,36
malesuada.fringilla.est@velit.co.uk,28,11,5,39
orci@Sedauctor.co.uk,16,12,11,64
lobortis@magnaNamligula.edu,25,9,7,14
urna.Ut.tincidunt@semperpretium.co.uk,18,6,9,34
egestas.ligula@posuerecubiliaCurae.com,22,7,16,59
sagittis.felis.Donec@sociisnatoque.ca,5,8,16,26
arcu.iaculis@Duisac.ca,10,9,15,41
eu.erat@acmetus.com,21,1,16,26
ipsum.ac.mi@lacus.org,4,4,7,39
purus.sapien@lorem.ca,30,5,17,25
semper@etmalesuadafames.ca,25,12,5,13
natoque.penatibus.et@Nullamscelerisque.ca,18,3,5,64
dictum@erosNam.ca,23,3,1,50
egestas.Aliquam.nec@Nullamutnisi.org,22,6,8,47
nisl.Maecenas.malesuada@a.ca,2,10,4,48
neque.vitae.semper@Mauris.org,29,2,1,52
Nunc.sed.orci@nisi.co.uk,22,11,5,33
ut@adipiscing.com,5,2,2,21
sit@egestas.co.uk,21,7,2,38
Quisque.imperdiet.erat@posuere.org,13,4,12,21
litora@ultriciesornare.ca,13,1,3,30
Integer.sem.elit@sitametante.com,30,10,4,62
ultricies.ornare.elit@odioauctor.net,30,4,5,15
in.dolor@magnisdis.net,14,1,8,66
luctus.et@sed.ca,15,4,13,18
Mauris@vestibulumneque.edu,30,9,14,58
Aliquam@sapienimperdietornare.ca,16,2,8,58
iaculis@ornareegestas.co.uk,12,2,18,27
nonummy.ac@tellus.net,25,6,12,48
vel@anteVivamusnon.co.uk,17,8,7,34
parturient.montes@Duiselementum.com,21,12,3,37
diam.lorem@lobortisClassaptent.co.uk,3,11,9,23
et@Cras.org,8,10,14,35
sed.sem.egestas@augueutlacus.edu,16,12,15,17
cursus.a@mollisnon.co.uk,2,3,6,67
risus@mi.net,23,2,7,27
enim.Nunc.ut@nonmassa.co.uk,28,5,9,56
Morbi.neque.tellus@milaciniamattis.org,13,2,16,53
nulla.Donec.non@Fuscealiquetmagna.org,5,6,2,62
pharetra.Quisque@orciluctus.edu,11,4,12,42
Quisque@vitaeerat.com,15,2,4,58
augue.eu@dictumauguemalesuada.net,12,12,14,43
Cras.dictum@nulla.net,19,5,5,37
tempus@antebibendum.co.uk,25,8,1,26
dictum.eu@dapibus.edu,28,8,6,28
risus@amet.com,14,9,1,47
elit.pede@nibhsit.co.uk,10,4,14,28
pellentesque.a.facilisis@justoeuarcu.com,24,9,18,54
