Name,Email,Behavior-1,Behavior-2,Behavior-3,Brand-Preference,CTA,Demo-Age,Demo-Geo,Demo-Sex
Kibo,nisl@adipiscingelit.org,2,1,16,12,9,48,VU9 2QS,1
Sybil,dui.Fusce.diam@non.edu,1,0,25,8,6,41,48087,2
Joel,nisl.Maecenas@vitaeorciPhasellus.org,2,2,23,11,4,50,ZF4O 1LI,1
Ina,justo.nec@Aenean.edu,3,1,4,12,11,34,48904,2
Regan,neque.Morbi.quis@AeneanmassaInteger.ca,2,2,29,10,2,59,4972,1
Flavia,elit@erat.org,3,1,16,6,13,57,94134,1
Dora,non.arcu.Vivamus@montesnasceturridiculus.net,1,1,26,7,7,58,67286,1
Sean,Proin.sed@sit.co.uk,1,2,13,9,4,64,P3S 1L7,1
Venus,auctor@odioEtiam.ca,1,0,23,10,12,58,497700,2
Inga,Mauris.non.dui@nisia.co.uk,1,2,11,1,11,23,0804XW,1
Talon,turpis.In.condimentum@Sedeget.co.uk,2,2,8,5,8,36,625755,1
Cynthia,malesuada.fringilla.est@velit.co.uk,1,1,28,11,5,39,2560,1
Damon,orci@Sedauctor.co.uk,3,2,16,12,11,64,87-183,2
Lois,lobortis@magnaNamligula.edu,1,1,25,9,7,14,940266,1
Buckminster,urna.Ut.tincidunt@semperpretium.co.uk,3,1,18,6,9,34,8376,2
Patience,egestas.ligula@posuerecubiliaCurae.com,1,0,22,7,16,59,50116,1
Zena,sagittis.felis.Donec@sociisnatoque.ca,2,2,5,8,16,26,7116,2
Lilah,arcu.iaculis@Duisac.ca,1,1,10,9,15,41,39802,2
Ezra,eu.erat@acmetus.com,2,2,21,1,16,26,3717,2
Joan,ipsum.ac.mi@lacus.org,3,2,4,4,7,39,8531,2
Benjamin,purus.sapien@lorem.ca,2,2,30,5,17,25,31359-874,2
Jacqueline,semper@etmalesuadafames.ca,1,2,25,12,5,13,919523,1
Callie,natoque.penatibus.et@Nullamscelerisque.ca,1,1,18,3,5,64,7860,1
Aileen,dictum@erosNam.ca,2,0,23,3,1,50,5232,1
Patience,egestas.Aliquam.nec@Nullamutnisi.org,3,1,22,6,8,47,918220,2
Regan,nisl.Maecenas.malesuada@a.ca,3,2,2,10,4,48,64871,2
Vernon,neque.vitae.semper@Mauris.org,1,2,29,2,1,52,80044,1
Shellie,Nunc.sed.orci@nisi.co.uk,3,0,22,11,5,33,884637,1
Emmanuel,ut@adipiscing.com,3,1,5,2,2,21,22399,2
Peter,sit@egestas.co.uk,3,0,21,7,2,38,791232,2
Ahmed,Quisque.imperdiet.erat@posuere.org,2,0,13,4,12,21,48306-455,2
Audra,litora@ultriciesornare.ca,1,1,13,1,3,30,345215,2
Ivan,Integer.sem.elit@sitametante.com,2,0,30,10,4,62,241917,2
Cara,ultricies.ornare.elit@odioauctor.net,3,0,30,4,5,15,5451,1
Buckminster,in.dolor@magnisdis.net,1,2,14,1,8,66,71601,2
Asher,luctus.et@sed.ca,2,2,15,4,13,18,65450,2
Melinda,Mauris@vestibulumneque.edu,2,2,30,9,14,58,0083IY,2
Miranda,Aliquam@sapienimperdietornare.ca,1,1,16,2,8,58,57228,2
Simone,iaculis@ornareegestas.co.uk,1,2,12,2,18,27,H29 8RT,2
Neve,nonummy.ac@tellus.net,1,0,25,6,12,48,11645,2
Kameko,vel@anteVivamusnon.co.uk,3,1,17,8,7,34,4246,2
Nigel,parturient.montes@Duiselementum.com,3,1,21,12,3,37,30515,2
Rebecca,diam.lorem@lobortisClassaptent.co.uk,1,2,3,11,9,23,G7R 0W2,2
Medge,et@Cras.org,2,1,8,10,14,35,5657,1
